P40541	Q12158
P38636	P38995
P40217	Q04067
P47167	Q12262
P38932	Q08144
P47089	P89886
P38344	P53145
P09232	P25580
P53886	P53886
P21182	P21182
P14737	P32562
P38867	P40956
P36116	Q03322
P23833	P23833
P14291	P38798
P38931	P53829
P11075	P40482
P33202	P54860
P32605	P34160
P07276	Q00578
P16140	P52286
P32479	P40055
P06843	P06843
P16661	P38837
Q04121	Q06815
P13382	Q04636
P23968	P25515
P53277	Q12309
P38291	P38786
P22138	P40422
P20967	P20967
P53178	P53178
P54837	Q04491
P34110	P38759
P40434	Q00764
P38042	Q04601
P32769	P33309
P14680	Q12523
P53068	P53197
P07251	P61829
P24814	Q08273
P0C0W9	Q08746
P20081	P38904
P47142	Q06696
P54999	Q12330
P40450	P41697
P00899	P00937
Q12020	Q12020
Q04272	Q12483
P07703	P47076
P32912	P36015
P05453	P31539
P38351	P53064
P23542	P23542
P06101	P15705
P06704	P11927
P38862	P38862
P08964	Q06580
P38204	P53437
Q08683	Q12107
P03965	P07258
P00044	P00431
Q12329	Q12329
P39996	P39996
P23639	P40303
P07261	P11938
P39081	Q01329
P17065	P17065
P38873	P41318
P13433	P14908
P53146	Q12745
P40090	Q04002
P35184	P41805
P43555	Q12396
P21524	P21672
P53261	Q02256
P40202	P40202
P32855	P38261
P38863	P53378
P20433	P34087
P08524	P08524
P08638	P08638
P19880	P40069
P38251	Q12050
P07248	P38129
P41811	P53622
Q12416	Q12477
P32788	P36118
P36000	P38700
P07249	P11746
P38789	Q03532
Q07478	Q12159
P33419	P36094
P53830	Q07350
P05317	P05318
P25586	P38011
P32468	Q06648
P53202	Q03919
P35177	P50875
P57743	P57743
P38842	Q99190
P32527	P38788
Q12206	Q12363
P34078	P40160
P18494	P23202
P22214	P28791
P20050	P20050
P36160	Q06218
P36149	Q03337
P06701	P06701
P25651	Q08729
P19262	P19262
P0CY13	P0CY13
Q02908	Q02908
P51601	P51601
P00447	P00447
P21304	P21304
Q00772	Q12224
P47050	Q06164
P32914	P38193
P36068	P47049
P32337	P40302
P21651	P21651
P28007	P53919
P38855	P39108
P39717	P53130
P53550	Q12517
P40413	P53904
P43592	P46671
P27515	P27515
P22209	P22209
P25635	Q12460
P43321	Q06819
P32368	Q06144
P17898	P22140
O74700	P18239
P22336	P38859
P05626	Q06405
P53115	Q03435
Q00381	Q99186
P38751	P38957
P18851	P32917
P53865	Q07732
P23724	P40064
P04911	P35817
P10863	Q08920
P19735	P40089
P40335	Q92331
P61830	P80428
P35182	Q12163
P06777	P06838
P40161	P40161
P06844	P13393
P38744	P38744
Q05567	Q05567
Q02884	Q04868
P09547	P32591
P40094	P53079
P32613	Q04183
P32803	P38968
Q07913	Q12749
P39521	Q03973
P32569	P32585
P35729	P53011
P17255	P32610
Q05580	Q05580
Q12390	Q12390
P19882	P38910
P53215	Q02821
P38930	P43639
Q03954	Q12248
P14064	Q02516
P49955	Q04693
Q12125	Q12154
Q06169	Q12066
P32583	P36103
P40360	Q01217
P36048	P53905
P40005	Q04493
P29340	Q05568
P38339	P46949
P48439	Q02795
P38203	Q06406
P89105	Q06697
P40574	P40574
P09938	P49723
Q12462	Q12462
P18480	Q05123
P37838	Q12176
P32767	P32773
P38198	P38198
P38956	Q12250
P36046	P87108
P25298	P29468
P09733	P40013
P29056	P46678
P25043	Q12245
P53299	P57744
P00546	P40186
P21657	P21705
P25293	P53313
P52917	P52917
P33421	P38228
P53088	Q08686
P32447	Q99314
P43573	P52553
P21374	P21374
Q04411	Q04411
P41695	P41695
P38013	P38013
P32830	Q12328
P34221	Q12447
P34253	P38874
P32495	P33322
P51534	P51534
P30657	P38346
P32776	P36100
P40473	P40473
P39707	Q04675
P53135	Q12488
P49687	P52891
P36017	P53108
P19658	P32844
P32915	P35179
P02994	P41832
P53176	P53322
Q05166	Q06142
P32835	P39705
P25441	P36121
P07342	P25605
P38523	Q01852
P43572	P53930
P22276	Q04307
P42841	Q06224
P42884	P42884
P40485	P40485
P38748	P38748
P43563	P53894
P32601	P38555
P32607	P38165
