Q96NS5	P21854
Q6NT32	Q0P641
O15016	Q6ZTI6
P05160	P78380
Q9P246	P43119
Q9Y2X0	Q13889
Q8NEY8	Q01449
P07098	Q8NGN3
Q2PPJ7	Q6UXB8
Q8NGJ0	Q13243
P07333	P0C0P6
Q96JB1	P52848
A6H8M9	Q99742
P00480	P09429
Q6DN14	P78344
Q6PII3	Q0P6D2
P80192	Q6ZV80
Q5FYA8	Q8NCY6
Q96JB3	Q9Y2Q9
Q8N1F8	Q52M75
Q9H0V1	P37840
P43155	P62633
P07225	Q30KP8
Q9P0V8	Q8N9R6
Q8WXH5	Q9C037
Q8NCG7	P20333
P31930	P01854
Q13790	Q86V81
Q15021	P39687
Q86TW2	Q14849
Q9Y3Z3	Q7Z6A9
Q6NXT6	Q9UJJ7
Q8NCW0	Q9UNW8
Q1MSJ5	Q9NYJ1
Q9BR11	Q9UBS0
Q8TE67	Q5VW00
Q8N4H0	Q8NH73
P36871	Q9UHG2
Q5VV52	Q8NGV7
Q5TGY1	Q6ZQW0
Q99543	Q9NZ09
Q9ULD6	Q6IFN5
Q5VYM1	Q96BT1
Q8NEN0	Q6ZS27
Q6UWY5	P61081
Q6GMV1	Q9H2S5
Q9UMR3	P47902
Q5TI25	Q92959
Q9H324	P07492
O00750	Q9H209
P41212	Q6PID8
Q5SWX8	Q9NWV8
O43765	Q9NP99
Q8WUF8	P83731
P13765	Q96FW1
Q7RTS7	Q15699
Q5I0G3	Q8IV13
P11216	Q7Z4Q2
Q9NY47	Q9BXB4
P19823	Q9NY28
Q06278	P40121
P0CJ73	Q13495
Q96J66	Q8N2Z9
Q494V2	Q6NT04
Q9P2Y5	P20815
Q8ND71	Q9Y6A2
Q01344	Q6P0A1
Q71U36	A8MTL3
A6NED2	Q8IY45
A0FGR9	Q93075
O94985	Q9UGM6
Q96MI9	Q8N441
Q15223	P62847
P80370	P01344
Q9Y2U9	Q6NUJ2
Q8N3F9	Q5VZI3
Q86UZ6	Q9NPF8
Q8IY18	Q8NGI6
Q8TAV0	Q9BXS1
Q14028	Q8WUD4
O75157	Q9UBQ6
Q8IZU8	A6NE02
P00367	Q99748
Q9BXU9	Q8TDP1
Q96CW5	Q8WVP7
Q8NGD5	O00338
Q9Y6S9	Q8IW00
Q8TBZ9	Q9HC23
Q05BV3	P02753
O75132	P17480
Q8N556	Q99797
B7ZAQ6	Q99714
O95402	Q99547
Q15042	Q9ULZ0
Q9H0J9	Q5VTT2
Q9UIU6	Q9H208
Q9H363	C9J3V5
Q8NGD3	Q5BJH7
P13533	P0CK97
A7MBM2	H3BU77
A6NNA2	Q6ZRV3
Q5JSL3	P42285
O00327	Q9H1Y3
O15197	O75474
Q8IYT1	P61218
Q9H6R7	Q7L8A9
Q96Q91	P19105
Q9C0G6	O75363
Q9H6Y7	Q16740
Q8IZ20	Q13316
Q9HCD5	Q5T2W1
Q8TC07	H3BU77
Q9NSN8	Q96A32
Q8NBR9	Q9Y3D5
O95450	Q9BXJ7
Q2M3A8	Q9P0M9
Q05397	Q8IY95
Q14183	Q9UNA3
Q7RTU9	Q6UXU4
Q5U623	Q96GX8
Q8TC41	Q5TBC7
Q9BSC4	Q6UW15
Q2NKX8	Q8IZ21
Q8NHM5	O60676
Q9NR61	Q9Y3V2
Q9NS15	Q8TDZ2
Q9UBU9	Q96LB0
Q9HAK2	Q9NRG0
P38571	Q2QL34
Q9Y2P5	Q00266
P98153	P19438
Q6VMQ6	Q6NT32
Q86U38	Q8N6N3
Q8N139	Q9UF56
Q6ZVF9	O15523
P42695	O43175
Q8N201	O75533
P48060	Q9Y3B3
O75339	Q8N109
P60368	Q7Z624
O75146	Q9UPR5
Q14593	P04181
Q8TEA7	Q9Y2E8
O60870	P60022
Q9BXI2	Q8N8G6
Q9Y617	Q13347
Q14739	Q9Y6W5
O95427	A6NM03
Q08945	P80511
P08631	O75394
Q8NFF5	Q14728
Q9P2G1	Q9H269
Q9H0H0	Q13153
Q92547	O94993
Q9BXW9	Q5SSG8
Q3LI72	P16389
Q9ULX5	P48048
Q9NQR4	P56211
Q9C056	P49771
P09017	Q13103
Q02218	Q9UPM9
Q9UL12	Q9H2U9
A6NIR3	Q9H8X2
Q8NGT7	P40925
Q9Y4F9	Q8NGB4
Q92974	Q6BEB4
Q2KHR3	A6NC05
Q9UN67	Q0JRZ9
Q8N475	Q8NGC6
